8630221118#,1,8630221118,1,0,112.443414,38.007914
8631057398#,1,8631057398,1,0,112.475684,38.005795
8630712450#,1,8630712450,1,0,112.452122,38.008947
8630504845#,1,8630504845,1,0,112.452852,38.008827
8630488960#,1,8630488960,1,0,112.483736,38.008202
8630353551#,1,8630353551,1,0,112.482072,38.007344
8630862419#,1,8630862419,1,0,112.453887,38.008421
8630502256#,1,8630502256,1,0,112.445084,38.008173
8630292639#,1,8630292639,1,0,112.453646,38.00802
8630599025#,1,8630599025,1,0,112.453939,38.008313
8630427798#,1,8630427798,1,0,112.453929,38.008318
8610144304#,1,8610144304,1,0,112.453908,38.008317
8631093914#,1,8631093914,1,0,112.453879,38.008337
8630008388#,1,8630008388,1,0,112.453905,38.008307
8630119850#,1,8630119850,1,0,112.453907,38.008291
8630742751#,1,8630742751,1,0,112.453941,38.008266
8630730069#,1,8630730069,1,0,112.453908,38.008274
8630355792#,1,8630355792,1,0,112.453921,38.008263
8631052889#,1,8631052889,1,0,112.45398,38.008232
8630437152#,1,8630437152,1,0,112.453905,38.008271
8630843830#,1,8630843830,1,0,112.453931,38.008252
8630063350#,1,8630063350,1,0,112.453986,38.008215
8630747501#,1,8630747501,1,0,112.453986,38.008204
8630068250#,1,8630068250,1,0,112.453875,38.00826
8630329882#,1,8630329882,1,0,112.486012,38.006494
8630171552#,1,8630171552,1,0,112.476638,38.00573
8630485802#,1,8630485802,1,0,112.518183,38.003866
8630601549#,1,8630601549,1,0,112.445403,38.007635
8630807636#,1,8630807636,1,0,112.468929,38.005605
8630050866#,1,8630050866,1,0,112.444257,38.008209
8631052956#,1,8631052956,1,0,112.497445,38.005921
8630257560#,1,8630257560,1,0,112.446184,38.006946
8630353130#,1,8630353130,1,0,112.446487,38.006831
8610173217#,1,8610173217,1,0,112.446218,38.006528
8630790018#,1,8630790018,1,0,112.440844,38.006568
8630027179#,1,8630027179,1,0,112.447421,38.006878
8630794951#,1,8630794951,1,0,112.446792,38.006824
8630504102#,1,8630504102,1,0,112.447414,38.006734
8630255806#,1,8630255806,1,0,112.448357,38.006843
8630701395#,1,8630701395,1,0,112.453981,38.008046
8630486493#,1,8630486493,1,0,112.445286,38.007066
8630008911#,1,8630008911,1,0,112.445074,38.006997
0100327352#,1,100327352,1,0,112.443992,38.007586
8630050714#,1,8630050714,1,0,112.45488,38.006801
8630431547#,1,8630431547,1,0,112.457996,38.004744
8630783675#,1,8630783675,1,0,112.481129,38.004973
8630067387#,1,8630067387,1,0,112.482419,38.005204
8630064612#,1,8630064612,1,0,112.487189,38.00651
8630870517#,1,8630870517,1,0,112.486575,38.006325
8630492327#,1,8630492327,1,0,112.501362,38.005137
8630741248#,1,8630741248,1,0,112.443239,38.007328
8630714146#,1,8630714146,1,0,112.501842,38.003121
8630035740#,1,8630035740,1,0,112.520694,38.003534
8630353520#,1,8630353520,1,0,112.46305,38.00539
8630023136#,1,8630023136,1,0,112.462955,38.005056
8630051285#,1,8630051285,1,0,112.450952,38.006918
8631093198#,1,8631093198,1,0,112.557732,38.001977
8630502137#,1,8630502137,1,0,112.570227,38.003076
8630972084#,1,8630972084,1,0,112.467852,38.005302
8630118388#,1,8630118388,1,0,112.605029,38.001564
8630431742#,1,8630431742,1,0,112.60698,38.000548
8630354830#,1,8630354830,1,0,112.517686,38.001836
8630702702#,1,8630702702,1,0,112.470666,38.005296
8630788522#,1,8630788522,1,0,112.441291,38.006053
8630508160#,1,8630508160,1,0,112.440405,38.006422
0226606705#,1,226606705,1,0,112.444515,38.005758
0106625053#,1,106625053,1,0,112.444864,38.006134
8630143003#,1,8630143003,1,0,112.444728,38.005647
8630294883#,1,8630294883,1,0,112.445873,38.00647
8630798949#,1,8630798949,1,0,112.446757,38.005829
8630800669#,1,8630800669,1,0,112.459885,38.003519
8630001855#,1,8630001855,1,0,112.47637,38.005401
8630706664#,1,8630706664,1,0,112.476256,38.005382
8630789443#,1,8630789443,1,0,112.476275,38.005282
8630736978#,1,8630736978,1,0,112.476762,38.004542
8610149656#,1,8610149656,1,0,112.479893,38.004506
0106512207#,1,106512207,1,0,112.47964,38.003865
8630716654#,1,8630716654,1,0,112.480281,38.004078
8630011113#,1,8630011113,1,0,112.464361,38.005197
8630063805#,1,8630063805,1,0,112.489335,38.005171
8630916296#,1,8630916296,1,0,112.490955,38.005608
8630778642#,1,8630778642,1,0,112.453784,38.006452
8630119749#,1,8630119749,1,0,112.453555,38.006125
8630226838#,1,8630226838,1,0,112.453739,38.006209
8630718878#,1,8630718878,1,0,112.454166,38.006411
8630429464#,1,8630429464,1,0,112.45133,38.005637
8630447471#,1,8630447471,1,0,112.497122,38.001384
8630435664#,1,8630435664,1,0,112.473949,38.004556
8630498288#,1,8630498288,1,0,112.48303,38.005233
8630599965#,1,8630599965,1,0,112.482968,38.005167
8630509136#,1,8630509136,1,0,112.482991,38.005138
8631057250#,1,8631057250,1,0,112.498089,38.000195
8630074342#,1,8630074342,1,0,112.456078,38.004223
8630722745#,1,8630722745,1,0,112.453069,38.00552
8630029943#,1,8630029943,1,0,112.453119,38.005462
8630786428#,1,8630786428,1,0,112.456012,38.00429
8630701446#,1,8630701446,1,0,112.446399,38.005093
8630283654#,1,8630283654,1,0,112.447166,38.004615
8630004161#,1,8630004161,1,0,112.450587,38.0057
8630807527#,1,8630807527,1,0,112.450799,38.005262
8630060216#,1,8630060216,1,0,112.45089,38.005183
8630148331#,1,8630148331,1,0,112.44976,38.004979
8630255141#,1,8630255141,1,0,112.451013,38.005416
8630709089#,1,8630709089,1,0,112.450916,38.005065
8630063372#,1,8630063372,1,0,112.453414,38.004897
8630746132#,1,8630746132,1,0,112.442307,38.004532
8610140634#,1,8610140634,1,0,112.441701,38.004162
8630295813#,1,8630295813,1,0,112.456019,38.004248
8630483832#,1,8630483832,1,0,112.472965,38.004395
8630429423#,1,8630429423,1,0,112.483394,38.003308
0106704445#,1,106704445,1,0,112.483656,38.003298
8630503689#,1,8630503689,1,0,112.4891,38.004857
8630026324#,1,8630026324,1,0,112.490025,38.00435
8630224384#,1,8630224384,1,0,112.503039,38.000141
8630069931#,1,8630069931,1,0,112.505922,38.00116
8630428695#,1,8630428695,1,0,112.498482,37.999854
8630817164#,1,8630817164,1,0,112.498042,37.999689
8631076953#,1,8631076953,1,0,112.515078,38.001818
8630154954#,1,8630154954,1,0,112.469488,38.004317
8630778036#,1,8630778036,1,0,112.468177,38.003467
8630023219#,1,8630023219,1,0,112.562748,38.001082
8631057003#,1,8631057003,1,0,112.483464,38.003257
8630376148#,1,8630376148,1,0,112.526061,38.001304
8630491867#,1,8630491867,1,0,112.450665,38.004367
8630429149#,1,8630429149,1,0,112.442061,38.002493
8631076242#,1,8631076242,1,0,112.446921,38.004149
8630006818#,1,8630006818,1,0,112.439343,38.002122
8630072498#,1,8630072498,1,0,112.465605,38.004346
8630828471#,1,8630828471,1,0,112.471203,38.003565
8630151440#,1,8630151440,1,0,112.4706,38.003256
8630355572#,1,8630355572,1,0,112.470592,38.003247
0106833403#,1,106833403,1,0,112.489962,38.00382
8630068599#,1,8630068599,1,0,112.490196,38.003265
8630007794#,1,8630007794,1,0,112.455755,38.003808
8630037966#,1,8630037966,1,0,112.550827,37.998279
8630429491#,1,8630429491,1,0,112.453307,38.004194
8630029653#,1,8630029653,1,0,112.452016,38.003645
8610174087#,1,8610174087,1,0,112.452046,38.003513
8630741785#,1,8630741785,1,0,112.453734,38.003591
8630702230#,1,8630702230,1,0,112.470073,38.00209
8630736688#,1,8630736688,1,0,112.512466,37.999874
8630050309#,1,8630050309,1,0,112.518307,38.001461
8630706199#,1,8630706199,1,0,112.457573,38.001707
8630030252#,1,8630030252,1,0,112.491262,38.001564
8630089699#,1,8630089699,1,0,112.522045,38.00046
8630429195#,1,8630429195,1,0,112.495631,37.999982
8631099202#,1,8631099202,1,0,112.495509,37.999946
8630065448#,1,8630065448,1,0,112.495687,37.99954
8630352541#,1,8630352541,1,0,112.440653,38.00064
8630442943#,1,8630442943,1,0,112.441147,37.99971
8630498813#,1,8630498813,1,0,112.473695,38.001839
8630141678#,1,8630141678,1,0,112.481584,38.000862
8630155287#,1,8630155287,1,0,112.540933,38.000261
8630494228#,1,8630494228,1,0,112.505248,37.998808
8610176387#,1,8610176387,1,0,112.50483,37.998823
8630114686#,1,8630114686,1,0,112.504352,37.998598
8630718680#,1,8630718680,1,0,112.504338,37.99859
8630713049#,1,8630713049,1,0,112.441588,37.99926
8630027370#,1,8630027370,1,0,112.514315,37.999961
8630069426#,1,8630069426,1,0,112.512634,37.999072
8630800592#,1,8630800592,1,0,112.521633,37.999897
8630446864#,1,8630446864,1,0,112.557973,37.994156
8630355621#,1,8630355621,1,0,112.558178,37.994112
8630156397#,1,8630156397,1,0,112.558024,37.993947
8630026966#,1,8630026966,1,0,112.595067,37.997063
8630501471#,1,8630501471,1,0,112.599891,37.996711
8630072919#,1,8630072919,1,0,112.613545,37.995024
8630100626#,1,8630100626,1,0,112.616299,37.99579
8630100544#,1,8630100544,1,0,112.613742,37.995021
8630294476#,1,8630294476,1,0,112.613637,37.994909
8630295464#,1,8630295464,1,0,112.613756,37.994775
0226607292#,1,226607292,1,0,112.474011,37.997524
8630493246#,1,8630493246,1,0,112.511581,37.997731
8630716829#,1,8630716829,1,0,112.516592,37.998737
8630358913#,1,8630358913,1,0,112.595464,37.996302
8630486357#,1,8630486357,1,0,112.595656,37.996341
8630971922#,1,8630971922,1,0,112.613716,37.994767
8630491612#,1,8630491612,1,0,112.613701,37.994755
0100310923#,1,100310923,1,0,112.613751,37.994737
8630807876#,1,8630807876,1,0,112.61719,37.993869
8630231162#,1,8630231162,1,0,112.441119,37.998461
8630429597#,1,8630429597,1,0,112.440703,37.997494
8630063799#,1,8630063799,1,0,112.442685,37.997482
8630222386#,1,8630222386,1,0,112.442592,37.996881
8630053586#,1,8630053586,1,0,112.491297,37.996819
8630746594#,1,8630746594,1,0,112.488128,37.997137
8630148581#,1,8630148581,1,0,112.507771,37.996595
8630495507#,1,8630495507,1,0,112.534282,37.994748
8630483609#,1,8630483609,1,0,112.484183,37.996944
8630288850#,1,8630288850,1,0,112.599554,37.99558
8630789223#,1,8630789223,1,0,112.5168,37.998526
8630078721#,1,8630078721,1,0,112.442021,37.996951
8630223011#,1,8630223011,1,0,112.515549,37.998066
8630701210#,1,8630701210,1,0,112.440718,37.997451
8630118532#,1,8630118532,1,0,112.440697,37.997428
8630742744#,1,8630742744,1,0,112.440376,37.997088
8630221779#,1,8630221779,1,0,112.50314,37.99702
8630321425#,1,8630321425,1,0,112.515776,37.9971
8630713566#,1,8630713566,1,0,112.513708,37.997391
8630298246#,1,8630298246,1,0,112.444972,37.994104
8630008490#,1,8630008490,1,0,112.509015,37.995716
8631052035#,1,8631052035,1,0,112.540192,37.992171
8630154088#,1,8630154088,1,0,112.518692,37.996499
8630722419#,1,8630722419,1,0,112.518093,37.996689
8630438929#,1,8630438929,1,0,112.525708,37.994343
8630437288#,1,8630437288,1,0,112.500623,37.994942
8630351711#,1,8630351711,1,0,112.501824,37.994689
8630034140#,1,8630034140,1,0,112.508247,37.995161
8630802729#,1,8630802729,1,0,112.509789,37.994428
8630976509#,1,8630976509,1,0,112.506654,37.994506
8631099040#,1,8631099040,1,0,112.515632,37.994587
0106607377#,1,106607377,1,0,112.61371,37.994735
8630913245#,1,8630913245,1,0,112.459359,37.993177
8630428665#,1,8630428665,1,0,112.525245,37.993028
8630730209#,1,8630730209,1,0,112.466268,37.993562
8630007130#,1,8630007130,1,0,112.52275,37.99322
8630286782#,1,8630286782,1,0,112.529681,37.992063
8630064470#,1,8630064470,1,0,112.46428,37.993548
8630329921#,1,8630329921,1,0,112.467557,37.99121
8630068058#,1,8630068058,1,0,112.46149,37.992352
8630494234#,1,8630494234,1,0,112.469604,37.991268
8630031910#,1,8630031910,1,0,112.443429,37.99195
8630480850#,1,8630480850,1,0,112.502919,37.994021
8630745154#,1,8630745154,1,0,112.50586,37.993946
8630007517#,1,8630007517,1,0,112.515693,37.991706
8630050808#,1,8630050808,1,0,112.569019,37.992691
8630063233#,1,8630063233,1,0,112.568924,37.992696
8630345012#,1,8630345012,1,0,112.568876,37.992714
8630061967#,1,8630061967,1,0,112.568874,37.992708
8630358038#,1,8630358038,1,0,112.568852,37.992627
8630113909#,1,8630113909,1,0,112.56883,37.992624
8630148771#,1,8630148771,1,0,112.568831,37.992592
8630792703#,1,8630792703,1,0,112.568714,37.992645
8630706524#,1,8630706524,1,0,112.568727,37.992635
8630004181#,1,8630004181,1,0,112.568739,37.992613
8630352787#,1,8630352787,1,0,112.568708,37.992626
8630782604#,1,8630782604,1,0,112.569003,37.992493
8630716941#,1,8630716941,1,0,112.593569,37.992013
8630594966#,1,8630594966,1,0,112.588549,37.992061
8630074647#,1,8630074647,1,0,112.516568,37.991403
0226607153#,1,226607153,1,0,112.510068,37.99107
8630250830#,1,8630250830,1,0,112.5028,37.992765
8631076314#,1,8631076314,1,0,112.50348,37.993325
8630792733#,1,8630792733,1,0,112.585567,37.991207
8630061773#,1,8630061773,1,0,112.587905,37.991561
8630359651#,1,8630359651,1,0,112.600234,37.989365
8630783254#,1,8630783254,1,0,112.5142,37.989717
8630156049#,1,8630156049,1,0,112.44825,37.98777
0106751623#,1,106751623,1,0,112.446906,37.986932
8630167578#,1,8630167578,1,0,112.448866,37.986735
8630343774#,1,8630343774,1,0,112.507096,37.991738
8630168735#,1,8630168735,1,0,112.507298,37.99167
8630713702#,1,8630713702,1,0,112.518192,37.989118
8630154079#,1,8630154079,1,0,112.515229,37.988747
8630253551#,1,8630253551,1,0,112.509478,37.990196
8630255629#,1,8630255629,1,0,112.566002,37.989398
8630143630#,1,8630143630,1,0,112.563709,37.985357
8630747964#,1,8630747964,1,0,112.50703,37.990897
8630353587#,1,8630353587,1,0,112.464866,37.985445
8630151447#,1,8630151447,1,0,112.506801,37.98982
8630595373#,1,8630595373,1,0,112.429039,37.987695
8630168810#,1,8630168810,1,0,112.585647,37.987502
8630777869#,1,8630777869,1,0,112.451092,37.985338
8630027385#,1,8630027385,1,0,112.469753,37.984048
8630357932#,1,8630357932,1,0,112.469711,37.984031
8630789992#,1,8630789992,1,0,112.515413,37.986237
8630156049#,1,8630156049,1,0,112.448248,37.987772
8630176043#,1,8630176043,1,0,112.595803,37.983089
8630791562#,1,8630791562,1,0,112.528304,37.984346
8630438688#,1,8630438688,1,0,112.542644,37.991142
8630489810#,1,8630489810,1,0,112.579643,37.981509
8630065336#,1,8630065336,1,0,112.514977,37.985738
0100298063#,1,100298063,1,0,112.540019,37.982849
8630807711#,1,8630807711,1,0,112.615902,37.982146
8630435886#,1,8630435886,1,0,112.45414,37.982014
8630155953#,1,8630155953,1,0,112.585262,37.985483
8630501598#,1,8630501598,1,0,112.5798,37.981531
8630777956#,1,8630777956,1,0,112.514182,37.984826
8630493619#,1,8630493619,1,0,112.595906,37.979325
8630169751#,1,8630169751,1,0,112.58591,37.984878
8630144671#,1,8630144671,1,0,112.521693,37.979099
8630243888#,1,8630243888,1,0,112.522665,37.978451
8630001136#,1,8630001136,1,0,112.542054,37.982207
8630255812#,1,8630255812,1,0,112.463526,37.979112
8630792916#,1,8630792916,1,0,112.515189,37.981882
8631057849#,1,8631057849,1,0,112.541163,37.981608
0100060182#,1,100060182,1,0,112.567648,37.978309
8630484681#,1,8630484681,1,0,112.566619,37.978122
0106505001#,1,106505001,1,0,112.588259,37.980027
8630293233#,1,8630293233,1,0,112.577761,37.979245
8630007238#,1,8630007238,1,0,112.488962,37.974941
8630991416#,1,8630991416,1,0,112.508624,37.979769
8630709316#,1,8630709316,1,0,112.508791,37.979721
8630284340#,1,8630284340,1,0,112.548135,37.976887
8630254280#,1,8630254280,1,0,112.51039,37.977561
8630004964#,1,8630004964,1,0,112.523087,37.976599
8630910158#,1,8630910158,1,0,112.454478,37.976168
8610147979#,1,8610147979,1,0,112.508343,37.973123
8630749791#,1,8630749791,1,0,112.51686,37.976147
8630119074#,1,8630119074,1,0,112.515735,37.975782
8630357520#,1,8630357520,1,0,112.563357,37.972481
8630035121#,1,8630035121,1,0,112.459711,37.974206
8630068524#,1,8630068524,1,0,112.457183,37.975297
8630351203#,1,8630351203,1,0,112.456982,37.975249
8630777792#,1,8630777792,1,0,112.456207,37.974787
8630496374#,1,8630496374,1,0,112.515932,37.975096
8630067032#,1,8630067032,1,0,112.575008,37.973209
8630599240#,1,8630599240,1,0,112.495206,37.97421
8630736127#,1,8630736127,1,0,112.495218,37.974204
8630138027#,1,8630138027,1,0,112.539718,37.973743
8630295478#,1,8630295478,1,0,112.547038,37.97271
8630438992#,1,8630438992,1,0,112.497774,37.968754
8630971926#,1,8630971926,1,0,112.497813,37.968758
8630488626#,1,8630488626,1,0,112.459284,37.973091
8630155168#,1,8630155168,1,0,112.552927,37.972696
8630153922#,1,8630153922,1,0,112.558319,37.97138
8630783131#,1,8630783131,1,0,112.463343,37.971167
8630138172#,1,8630138172,1,0,112.496268,37.968573
8630596234#,1,8630596234,1,0,112.499499,37.96875
8630256478#,1,8630256478,1,0,112.499635,37.968687
8630288378#,1,8630288378,1,0,112.57245,37.970107
8630035848#,1,8630035848,1,0,112.466106,37.969352
0226587324#,1,226587324,1,0,112.555936,37.969572
8630485778#,1,8630485778,1,0,112.524251,37.97088
8630491764#,1,8630491764,1,0,112.54967,37.969987
8630029671#,1,8630029671,1,0,112.546842,37.97136
8630067157#,1,8630067157,1,0,112.468753,37.967116
8630798567#,1,8630798567,1,0,112.507997,37.96847
8630357506#,1,8630357506,1,0,112.457476,37.971249
8630001997#,1,8630001997,1,0,112.549036,37.9676
8630487395#,1,8630487395,1,0,112.561947,37.969583
8631076176#,1,8631076176,1,0,112.562554,37.969402
8630233051#,1,8630233051,1,0,112.563133,37.96878
8630294499#,1,8630294499,1,0,112.563209,37.968732
8630706043#,1,8630706043,1,0,112.531402,37.967244
8630778043#,1,8630778043,1,0,112.516341,37.966795
8630072633#,1,8630072633,1,0,112.558239,37.967389
8630074924#,1,8630074924,1,0,112.558008,37.967231
8630003281#,1,8630003281,1,0,112.548787,37.967237
8630746276#,1,8630746276,1,0,112.558403,37.966651
8630433612#,1,8630433612,1,0,112.586052,37.966524
8630442650#,1,8630442650,1,0,112.583163,37.965914
8630499768#,1,8630499768,1,0,112.54224,37.967926
8630353208#,1,8630353208,1,0,112.539414,37.966207
8630298235#,1,8630298235,1,0,112.545893,37.967577
8630429370#,1,8630429370,1,0,112.461542,37.968716
8630598765#,1,8630598765,1,0,112.537072,37.965377
0106726057#,1,106726057,1,0,112.526655,37.964417
8630736635#,1,8630736635,1,0,112.457747,37.965588
8630351299#,1,8630351299,1,0,112.534021,37.963643
0106514842#,1,106514842,1,0,112.542444,37.965414
8630350330#,1,8630350330,1,0,112.541378,37.964531
8630500544#,1,8630500544,1,0,112.544287,37.965418
8631052688#,1,8631052688,1,0,112.523279,37.963155
8630001866#,1,8630001866,1,0,112.544449,37.9641
8630066275#,1,8630066275,1,0,112.545314,37.964219
8630703698#,1,8630703698,1,0,112.562894,37.963545
8630034454#,1,8630034454,1,0,112.575246,37.965157
8630062750#,1,8630062750,1,0,112.572714,37.963707
8630491187#,1,8630491187,1,0,112.46077,37.962682
8630028379#,1,8630028379,1,0,112.547266,37.964544
8630351687#,1,8630351687,1,0,112.561819,37.960681
8630484567#,1,8630484567,1,0,112.448786,37.962401
8630508276#,1,8630508276,1,0,112.469741,37.960018
8630061906#,1,8630061906,1,0,112.469701,37.959957
